Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/search?q=*,437,0,1600.0,1882.775142819789,659.2297080205753,8609.913500025868,16778.0,0.7283556915146212,0.0,1600,1900,2200,2500,3400,3900,5000,5800,8600,8600,8600
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/26134,462,0,4200.0,5252.846928220897,2316.7408329900354,15505.94720907975,341445.1493506493,0.770023637253444,0.0,4200,5000,6000,7000,9800,12000,14000,15000,16000,16000,16000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27079,429,0,2600.0,2904.3335257597932,1237.2058340115473,9033.00508391112,251151.24475524476,0.715021948878198,0.0,2600,3000,3400,3700,4500,5500,6500,7400,9000,9000,9000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27626,453,0,2800.0,3183.856833150002,1358.0748329404742,10701.299667009152,322969.055187638,0.7550231767874678,0.0,2800,3300,3600,4000,4800,6300,8600,9400,11000,11000,11000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27883,495,0,3100.0,3448.680710018086,1530.8944589924067,11027.331541990861,331263.91515151516,0.82502532562869,0.0,3100,3600,4000,4300,5400,6300,7800,9600,11000,11000,11000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/29236,416,0,8600.0,10107.866707032372,4904.281374998391,22508.352958015166,834749.9759615385,0.6933546170940101,0.0,8600,11000,12000,13000,18000,20000,20000,21000,23000,23000,23000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/29669,442,0,2000.0,2263.8297509531094,935.1010420359671,8640.617541968822,178294.2488687783,0.7366892806623858,0.0,2100,2400,2700,2900,3600,4100,5300,7000,8600,8600,8600
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/55LJ9P,462,0,2200.0,2574.62127884352,1015.0212500011548,8083.347792038694,216001.52813852814,0.770023637253444,0.0,2200,2800,3000,3300,4100,4800,6600,7700,8100,8100,8100
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/MPU019,438,0,2600.0,2899.2536515542347,1225.7469169562683,8974.660124978982,241394.02511415526,0.7300224093441742,0.0,2600,3000,3400,3700,4700,5800,7500,8200,9000,9000,9000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/OJZKKP,454,0,2500.0,2785.377617015879,1145.4320839839056,9070.385375060141,236994.23127753305,0.7566898946170207,0.0,2500,3000,3300,3500,4400,5200,6300,7700,9100,9100,9100
GET,/dataverse/harvard,4307,0,3100.0,3847.6210701957075,1435.8686249470338,15526.810957933776,99369.02879034131,7.178553691884379,0.0,3100,3800,4300,4800,6700,8900,12000,12000,15000,16000,16000
GET,/dataverse/harvard/?q=fileName%3Aselfrecovery.tab,467,0,1200.0,1394.3766507303155,461.7437500273809,5121.583624975756,68685.08137044968,0.7783572264012085,0.0,1200,1500,1700,1900,2500,2800,3600,4500,5100,5100,5100
,Aggregated,9262,0,2900.0,3649.017913115923,461.7437500273809,22508.352958015166,192436.10526884042,15.437140537319044,0.0,2900,3500,4100,4600,6700,9200,12000,14000,20000,23000,23000
