Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/search?q=*,304,0,710.0,793.6173400820209,639.5911250729114,2150.783625082113,16778.0,0.5066371407443937,0.0,710,750,820,870,940,1200,1800,2000,2200,2200,2200
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/26134,287,0,18000.0,18527.910556326595,11706.303999992087,37381.94645801559,251890.91637630662,0.4783054585317138,0.0,18000,19000,20000,20000,21000,25000,36000,37000,37000,37000,37000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27079,291,0,17000.0,17847.94847393221,11026.534707983956,35330.83762496244,231376.1821305842,0.4849717366994032,0.0,17000,19000,19000,20000,21000,29000,35000,35000,35000,35000,35000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27626,286,0,16000.0,17160.260197863234,10815.521334065124,35648.34466704633,238739.75174825176,0.47663888898979145,0.0,16000,18000,19000,19000,21000,24000,35000,36000,36000,36000,36000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27883,314,0,17000.0,17634.08647412449,11017.629542038776,36471.39345807955,290429.5541401274,0.5233028361636172,0.0,17000,18000,19000,19000,21000,25000,35000,36000,36000,36000,36000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/29236,311,0,20000.0,21384.674822330668,14794.6077499073,41232.51333402004,281747.55948553054,0.5183031275378501,0.0,20000,22000,23000,23000,25000,29000,39000,40000,41000,41000,41000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/29669,302,0,17000.0,17211.244770710815,4945.088125066832,34939.77004208136,177623.13907284767,0.503304001660549,0.0,17000,18000,19000,19000,20000,22000,34000,35000,35000,35000,35000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/55LJ9P,289,0,17000.0,17579.270679776793,10618.14170901198,35025.06054099649,213397.4429065744,0.4816385976155585,0.0,17000,18000,19000,19000,21000,33000,35000,35000,35000,35000,35000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/MPU019,298,0,17000.0,17452.729386570878,10881.102334009483,35554.21433295123,236803.6510067114,0.4966377234928596,0.0,17000,18000,19000,19000,21000,26000,34000,35000,36000,36000,36000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/OJZKKP,278,0,17000.0,17337.689036834672,10707.413916941732,35229.31279207114,228092.38489208632,0.4633063326544127,0.0,17000,18000,19000,20000,21000,26000,34000,35000,35000,35000,35000
GET,/dataverse/harvard,3039,0,6200.0,6805.400128052082,3680.060292012058,17846.993542043492,99305.19578808818,5.064704837902015,0.0,6200,6800,7100,7300,8100,10000,17000,17000,18000,18000,18000
GET,/dataverse/harvard/?q=fileName%3Aselfrecovery.tab,321,0,5000.0,5381.224471766711,1053.469332982786,15398.595166043378,68608.6230529595,0.5349688229570736,0.0,5000,5500,5800,5900,6900,7500,14000,15000,15000,15000,15000
,Aggregated,6320,0,7700.0,11163.935846109056,639.5911250729114,41232.51333402004,152677.9575949367,10.532719504949238,0.0,7700,15000,17000,18000,20000,21000,27000,35000,39000,41000,41000
