Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/search?q=*,441,0,1500.0,1698.7855291968663,678.1534999608994,6275.89137502946,13396.0,0.734960836470854,0.0,1500,1700,1900,2100,2800,3300,4700,5300,6300,6300,6300
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/26134,446,0,4100.0,4693.8712227392125,2103.623833041638,14373.455292079598,252464.8340807175,0.7432937257732446,0.0,4100,4700,5200,5600,7700,9500,12000,13000,14000,14000,14000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27079,444,0,1800.0,2083.871498215222,1106.93887504749,10075.89341700077,231774.6036036036,0.7399605700522883,0.0,1800,2100,2400,2500,2900,3400,7200,8400,10000,10000,10000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27626,513,0,1900.0,2244.1274506216014,1149.6448749676347,11002.408875152469,239327.94152046784,0.8549544424252792,0.0,1900,2200,2500,2700,3100,3800,4400,9300,11000,11000,11000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27883,445,0,2300.0,2745.817679405903,1386.9612498674542,11695.42729202658,291320.85617977526,0.7416271479127665,0.0,2300,2700,3000,3300,3900,4500,9900,11000,12000,12000,12000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/29236,433,0,8900.0,9372.27431148738,4690.230167005211,18489.582082955167,282140.648960739,0.721628213587029,0.0,8900,9900,11000,12000,14000,16000,17000,17000,18000,18000,18000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/29669,461,0,1300.0,1590.711772933283,762.9050409886986,9106.966165825725,177931.67895878525,0.7682923936804166,0.0,1300,1600,1800,1900,2400,2800,5300,7500,9100,9100,9100
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/55LJ9P,480,0,1400.0,1710.768928916271,864.1057920176536,9500.458874972537,213760.39166666666,0.799957373029501,0.0,1400,1700,1900,2000,2400,3100,5300,8100,9500,9500,9500
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/MPU019,471,0,1700.0,2095.531016904584,1039.2607080284506,10201.58899994567,237256.35456475583,0.7849581722851978,0.0,1700,2100,2300,2500,2900,3400,7600,9300,10000,10000,10000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/OJZKKP,470,0,1700.0,2005.6687944127802,993.3553750161082,10334.428375121206,228528.40425531915,0.7832915944247196,0.0,1700,2000,2200,2400,2800,3500,6700,9000,10000,10000,10000
GET,/dataverse/harvard,4562,0,3100.0,3528.5599300011004,1377.32058390975,11576.849249890074,99277.89302937308,7.602928199501215,0.0,3100,3600,4000,4400,6000,7000,8900,9700,11000,12000,12000
GET,/dataverse/harvard/?q=fileName%3Aselfrecovery.tab,459,0,790.0,982.5903105875173,414.34208303689957,6648.4120830427855,68610.4531590414,0.7649592379594603,0.0,790,960,1100,1100,1400,1700,4600,5600,6600,6600,6600
,Aggregated,9625,0,2500.0,3140.9492949679407,414.34208303689957,18489.582082955167,154200.55303896105,16.040811907101972,0.0,2500,3200,3600,4000,6100,8100,10000,12000,16000,18000,18000
