Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/search?q=*,295,0,720.0,1059.6907309311741,623.2820828445256,18398.930666968226,13376.0,0.4916249507300143,0.0,720,760,800,850,1000,1100,9500,14000,18000,18000,18000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/26134,315,0,17000.0,17224.127894730882,13010.935292113572,37170.25866592303,254149.9619047619,0.5249554558642525,0.0,17000,18000,19000,19000,21000,22000,24000,33000,37000,37000,37000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27079,301,0,15000.0,15831.087222868156,11721.066250000149,27608.625625027344,233629.68106312293,0.5016241022702858,0.0,15000,17000,18000,18000,19000,22000,24000,26000,28000,28000,28000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27626,316,0,15000.0,15789.917471112029,11831.02508308366,28306.743083056062,241701.2594936709,0.5266219811209645,0.0,15000,17000,18000,18000,19000,21000,23000,24000,28000,28000,28000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/27883,287,0,16000.0,16311.029051548967,11988.132124999538,29470.812583109364,296254.4006968641,0.478292748676319,0.0,16000,17000,18000,19000,20000,22000,26000,28000,29000,29000,29000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/29236,319,0,20000.0,20412.473782659057,15719.264292158186,41558.36020805873,283951.70219435735,0.5316215568911002,0.0,20000,21000,22000,22000,25000,26000,36000,39000,42000,42000,42000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/29669,301,0,15000.0,15684.312023682693,11580.478250049055,27733.684625010937,179935.43853820598,0.5016241022702858,0.0,15000,17000,17000,18000,20000,22000,23000,24000,28000,28000,28000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/55LJ9P,341,0,15000.0,15623.685707726661,7721.582000143826,27835.258499952033,215649.72140762463,0.5682851125387622,0.0,15000,17000,17000,18000,19000,21000,23000,24000,28000,28000,28000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/MPU019,291,0,15000.0,15882.525585171737,11638.561290921643,28035.42795800604,239078.27491408936,0.48495884970316666,0.0,15000,16000,18000,18000,20000,22000,23000,27000,28000,28000,28000
GET,/dataset.xhtml?persistentId=doi:10.7910/DVN/OJZKKP,307,0,16000.0,16090.523419008327,11670.172207988799,27733.40745898895,230363.43973941368,0.5116232538105573,0.0,16000,17000,18000,18000,19000,21000,23000,26000,28000,28000,28000
GET,/dataverse/harvard,3039,0,5800.0,6935.52894676343,3892.7017089445144,34246.047999942675,99193.06745640014,5.064570255147503,0.0,5800,6300,6900,7300,8100,8600,31000,31000,33000,34000,34000
GET,/dataverse/harvard/?q=fileName%3Aselfrecovery.tab,314,0,4700.0,5202.8057403390885,3520.7306670490652,11299.976667156443,68522.66242038217,0.5232889306075407,0.0,4700,5200,5700,6300,7100,8600,9600,9700,11000,11000,11000
,Aggregated,6426,0,7800.0,10738.69258542588,623.2820828445256,41558.36020805873,155191.91098661686,10.709091299630751,0.0,7800,14000,16000,17000,19000,22000,26000,31000,37000,42000,42000
